epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E1;G49;72;95;28;203;0.352683428;0.417969794;0.229491923;2;1.01;0.7;0.693069307;7.25;3.448275862
E1;G50;50;98;32;129;0.36682128;0.420391649;0.214164315;1;1.66;1.18;0.710843373;4.03125;9.147286822
E1;G51;64;84;23;163;0.373917556;0.398386497;0.216190252;0;1.25;0.9;0.72;7.086956522;5.521472393
E1;G52;57;89;19;102;0.332292489;0.386419324;0.228147616;0;0.66;0.46;0.696969697;5.368421053;4.509803922
E2;G54;43;61;19;113;0.50809207;0.434435873;0.240429561;0;1.07;0.83;0.775700935;5.947368421;7.345132743
E2;G55;41;105;35;178;0.41805547;0.422472891;0.235742634;1;1.8;1.4;0.777777778;5.085714286;7.865168539
E2;G56;44;59;8;55;0.440284724;0.42385518;0.228504793;0;0.24;0.28;1.166666667;6.875;5.090909091
E2;G57;44;70;36;181;0.407560059;0.420401652;0.232331678;0;1.75;1.35;0.771428571;5.027777778;7.458563536
E2;G58;49;71;16;140;0.487874628;0.412784976;0.252224565;0;1.12;0.76;0.678571429;8.75;5.428571429
E2;G59;42;67;33;144;0.506290354;0.432060683;0.25095626;2;1.85;1.5;0.810810811;4.363636364;10.41666667
E2;G60;49;83;26;104;0.510064472;0.45302061;0.263111376;1;1.33;0.95;0.714285714;4;9.134615385
E2;G62;49;89;14;103;0.32598722;0.426006158;0.22794576;0;0.62;0.45;0.725806452;7.357142857;4.368932039
E2;G63;40;60;8;42;0.382512347;0.45620372;0.251687368;0;0.29;0.26;0.896551724;5.25;6.19047619
E2;G64;46;76;20;170;0.411931296;0.450705283;0.255638734;0;1.3;1.02;0.784615385;8.5;6
E2;G65;43;87;49;225;0.331147365;0.434405139;0.225894006;1;1.63;1;0.613496933;4.591836735;4.444444444
E2;G66;76;93;14;105;0.359320698;0.409882499;0.233256952;0;0.61;0.42;0.68852459;7.5;4
E2;G67;46;73;19;96;0.389627508;0.43270704;0.248894089;2;0.74;0.5;0.675675676;5.052631579;5.208333333
E2;G68;58;82;64;462;0.322495227;0.417427499;0.221793428;2;3.3;2.34;0.709090909;7.21875;5.064935065
E2;G69;57;90;55;255;0.268473001;0.392181105;0.191768828;2;2.27;1.52;0.669603524;4.636363636;5.960784314
E2;G70;49;80;28;145;0.312930912;0.429352669;0.209295821;0;1.69;1.33;0.786982249;5.178571429;9.172413793
E2;G71;53;79;40;228;0.280938787;0.435223797;0.21530615;2;1.93;1.22;0.632124352;5.7;5.350877193
E2;G72;53;80;44;355;0.299484035;0.42445339;0.225062791;1;2.25;1.85;0.822222222;8.068181818;5.211267606
E2;G73;59;80;37;252;0.311919087;0.436904401;0.229627628;1;1.94;1.3;0.670103093;6.810810811;5.158730159
E2;G74;48;63;15;133;0.276986724;0.409372735;0.216724216;2;0.82;0.74;0.902439024;8.866666667;5.563909774
E2;G75;51;69;21;84;0.282936119;0.403024289;0.192251986;1;1.02;0.78;0.764705882;4;9.285714286
