img,id,length
img_3,290,4.01852322
img_128,17,4.01879498
img_501,356,3.86094607
img_498,113,3.54293515
img_173,285,3.94139723
img_386,92,3.37043556
img_12,109,4.0956358
img_230,654,3.43492263
img_217,258,3.43669289
img_129,917,3.31807768
img_292,56,3.80281611
img_50,436,3.58264305
img_46,577,3.34573573
img_492,357,4.02722711
img_472,726,3.60842161
img_461,300,3.37615735
img_254,115,3.86664879
img_327,321,3.52037143
img_421,186,3.96976967
img_192,515,4.08737842
img_200,537,3.6513776
img_195,121,3.63508527
img_564,329,3.58239121
img_259,189,3.95511669
img_249,70,3.79967631
img_46,438,3.64213484
img_190,101,3.72767021
img_246,659,3.12002171
img_265,53,3.98514983
img_527,530,3.2911378
img_220,7,3.82576007
img_200,759,3.7632386
img_115,79,3.7448114
img_214,67,3.93622874
img_311,130,3.76284128
img_253,186,4.18166775
img_433,49,3.75467109
img_375,1500,4.13260568
img_302,78,3.99306659
img_184,43,3.52371323
img_375,470,3.92779594
img_286,1144,3.4831141
img_125,60,3.92035028
img_384,222,3.60579991
img_315,82,3.76171593
img_451,36,3.99041959
img_3,82,4.14695199
img_132,326,3.48203663
img_11,595,3.80966607
img_37,192,3.61995945
img_259,1150,3.83176095
img_132,201,3.9913509
img_256,796,3.786892
img_526,441,3.28033962
img_36,52,3.93726444
img_293,7,4.29553719
img_525,323,3.86483158
img_206,174,4.15529779
img_283,338,3.67555912
img_524,685,3.87862442
img_513,311,3.9754408
img_310,236,3.68819875
img_522,656,3.34549947
img_496,387,3.84606498
img_362,518,3.8064796
img_389,320,4.00812035
img_490,72,4.20776097
img_137,441,3.62198178
img_137,229,3.69519096
img_246,111,3.22465408
img_496,577,3.98361197
img_211,399,4.33232512
img_386,53,3.30912769
img_1,243,3.79468801
img_272,963,3.91077403
img_200,608,3.79781141
img_425,65,3.80369178
img_331,548,3.69847944
img_488,381,4.12634707
img_78,790,3.64572905
img_196,24,3.80226442
img_271,1021,3.8442943
img_472,602,3.56405276
img_364,177,4.0897372
img_97,62,3.76143142
img_488,422,3.68741834
img_221,696,3.60893113
img_76,162,3.69762332
img_218,111,4.53283186
img_204,182,4.28712995
img_206,237,4.26830448
img_389,170,3.39128179
img_96,102,4.09648777
img_13,1296,3.72970492
img_218,302,3.36968734
img_498,1363,3.4814274
img_7,176,4.12793219
img_287,708,3.20290825
img_41,87,3.51920078
img_74,30,4.00584511
img_41,179,3.95496765
img_193,494,3.63227728
img_38,35,4.60946713
img_201,235,3.63078782
img_271,834,3.77300646
img_270,124,4.45700957
img_6,525,4.10712466
img_220,366,3.48763799
img_154,309,3.89987266
img_491,281,4.07476691
img_277,1303,3.69738883
img_227,70,3.53407337
img_522,121,3.41663183
img_287,493,3.33259059
img_200,344,3.85787302
img_264,83,3.80793215
img_19,515,4.00497782
img_17,219,3.49624777
img_102,163,3.59344977
img_12,105,4.00927989
img_472,555,3.66393547
img_254,240,4.08473301
img_259,1147,3.52542547
img_74,28,4.00121756
img_193,515,3.6326532
img_92,162,4.06010807
img_198,221,3.78962665
img_216,112,3.39141664
img_505,660,3.85480618
img_196,1244,3.80874052
img_12,230,3.84514547
img_266,18,3.3364606
img_564,364,3.58600983
img_65,97,3.67363504
img_78,1368,3.18558107
img_246,208,3.92179604
img_230,618,3.08176282
img_48,760,3.35227292
img_372,55,3.65795811
img_264,101,3.83070155
img_209,78,3.72341041
img_256,735,3.71211017
img_40,597,3.84372727
img_41,267,3.90392099
img_78,73,3.98965223
img_34,66,4.24984376
img_198,505,3.59200725
img_234,112,4.0876212
img_523,75,3.51525335
img_193,137,3.57036729
img_23,659,3.76698399
img_331,103,4.10398788
img_411,599,3.81735657
img_2,851,3.61367758
img_35,142,3.815527
img_77,420,4.25008151
img_521,1566,4.40259918
img_334,278,3.54851997
img_282,519,3.94928542
img_2,286,4.26908784
img_381,93,3.66141684
img_308,54,3.59073551
img_499,752,3.52254815
img_26,142,3.76777616
img_254,157,4.13152871
img_389,206,3.6502093
img_28,1451,3.45423606
img_158,580,4.23447213
img_191,691,3.83787464
img_21,118,3.93798682
img_233,349,4.34303105
img_158,715,4.01595826
img_76,171,3.91252618
img_435,62,4.30702616
img_287,71,3.50094568
img_273,300,3.93383797
img_33,75,4.07639636
img_522,28,3.55066563
img_197,106,3.71622608
img_376,79,3.81532854
img_20,977,3.54749711
img_472,535,4.06087528
img_30,48,3.95249419
img_301,96,4.1168885
img_19,740,3.75865037
img_200,19,4.09894595
img_60,343,3.77837752
img_284,330,3.8101346
img_199,144,3.69347649
img_26,741,3.06008499
img_277,614,3.29423367
img_196,66,3.68977547
img_23,672,3.86172419
img_89,257,3.67418185
img_12,81,4.18705804
img_62,646,3.19856868
img_12,465,3.65340791
img_251,437,3.80375138
img_20,615,3.52434934
img_474,393,3.60072763
img_109,129,4.24809088
img_362,14,4.34827773
img_572,572,3.74250771
img_7,745,3.80271073
img_492,17,3.76603549
img_499,428,3.46405953
img_394,224,3.52321685
img_185,29,4.45317396
img_94,389,3.99052978
img_521,1328,3.94358856
img_303,333,3.84949429
img_12,1027,3.70567659
img_527,178,3.58273087
img_528,61,3.57685436
img_61,202,4.06666489
img_259,1159,3.72615183
img_227,89,3.51194679
img_214,253,3.87387087
img_15,177,3.78874955
img_107,50,3.66075603
img_514,230,3.95233231
img_115,223,3.53361982
img_204,913,3.75991629
img_296,295,3.72727923
img_108,465,3.85742724
img_101,86,3.73193943
img_425,206,3.96001719
img_379,373,3.95748098
img_109,365,3.85958407
img_78,1570,3.65156421
img_123,213,4.08679604
img_264,81,3.7346953
img_520,219,4.00126168
img_370,138,4.10940154
img_57,162,4.00815909
img_25,335,3.87850203
img_46,806,3.08213716
img_565,117,3.25659578
img_92,429,3.9530106
img_77,111,3.91346814
img_371,326,3.72710164
img_253,1186,3.96881589
img_287,549,3.13635048
img_497,202,3.67373765
img_115,313,2.89782535
img_377,195,3.62890525
img_45,124,3.50237908
img_366,333,4.07124197
img_53,557,3.86283614
img_78,334,3.81777191
img_493,44,3.90045474
img_396,136,4.00276417
img_19,284,3.77219756
img_64,179,3.66695189
img_521,745,4.35585388
img_257,200,3.59871058
img_375,1279,3.72030777
img_158,163,4.16640278
img_89,54,3.97003254
img_546,613,4.11709416
img_128,400,3.37193054
img_1,424,3.64890022
img_201,653,3.649382
img_139,322,3.80256923
img_197,20,3.75835541
img_171,309,3.68532523
img_339,350,3.27877894
img_205,680,4.0181198
img_378,76,3.90925693
img_499,378,3.70044976
img_532,270,3.54955774
img_255,414,3.63059494
img_255,634,3.4858869
img_195,658,3.89246566
img_253,1391,4.05449122
img_270,204,3.8263819
img_45,95,3.74689991
img_335,288,3.98046801
img_61,5,4.09014145
img_362,167,3.94996483
img_463,99,3.86591774
img_13,26,4.08814577
img_194,646,3.73743807
img_92,606,3.98433231
img_275,131,3.83467494
img_111,1505,3.57455582
img_530,247,3.55913764
img_284,219,3.76195382
img_221,300,3.66479941
img_432,294,4.07277527
img_271,1051,4.02525118
img_107,236,3.57760899
img_33,778,3.34308619
img_47,95,3.55883044
img_253,1419,4.28243283
img_379,225,3.75374776
img_333,448,3.97750508
img_495,151,4.03729383
img_31,197,4.11232325
img_283,471,3.67653523
img_100,55,4.03252482
img_250,288,3.58599997
img_286,1206,3.39428866
img_463,259,3.88492936
img_195,72,3.55213449
img_194,335,3.94527729
img_205,376,4.0848539
img_472,1203,3.95983412
img_496,129,4.27139455
img_475,13,3.55557981
img_111,469,3.79999669
img_12,481,3.8125743
img_296,175,3.4136862
img_304,750,3.70715916
img_200,901,3.55485988
img_432,269,3.83642419
img_183,77,3.94287946
img_246,445,3.65610179
img_191,927,3.75211022
img_206,18,4.14222106
img_201,93,3.94002481
img_536,45,3.81694888
img_194,216,3.95155073
img_99,51,3.85018809
img_330,28,3.85730969
img_196,1379,3.91485188
img_574,686,3.93254904
img_139,473,3.17784567
